Xo;Interações.;Busca;Interações da Busca;Opt. Point;Opt. Value; Error
[0.5, 0.5, 0.5, 0.5];8;armijo;428;(0.561244632693806, 0.541076903367159, 0.575821178212191, 0.531155268041821);-62.5246967505831;0.000106578533723
[0.5, 0.5, 0.5, 0.5];150;aurea;3600;(0.562198180424249, 0.568230181455921, 0.558311634997128, 0.549535716035466);-62.8262636670102;0.000319988120024
[0.49, 0.49, 0.49, 0.49];10;armijo;518;(0.561117917188991, 0.537764529544017, 0.577993151797987, 0.526231057728343);-62.4399364286197;0.000198851332007
[0.49, 0.49, 0.49, 0.49];150;aurea;3600;(0.563871726426457, 0.565192768475331, 0.563279201890118, 0.544977731321523);-62.9538322491672;0.00439613157385
[0.6, 0.6, 0.6, 0.6];6;armijo;273;(0.539641971792615, 0.115653969248391, 0.821267459956315, 0.0881670025826687);-54.0319410077997;0.000171164067358
[0.6, 0.6, 0.6, 0.6];18;aurea;432;(0.206261128884021, 0.368879264347220, 0.897438702026260, 0.440674120982794);-57.7975125910613;0.000859864221054
[0.5, 0.6, 0.7, 0.4];7;armijo;295;(0.563086949437466, 0.143914302727431, 0.782100552020851, 0.149491902780418);-54.8109636133935;0.000431468399272
[0.5, 0.6, 0.7, 0.4];128;aurea;3072;(0.449255089854438, 0.532069618879154, 0.684998529206141, 0.411782129210743);-60.8181960735790;0.00343106449311
[0.45, 0.36, 0.78, 0.12];8;armijo;438;(0.460566156726103, 0.367095369754395, 0.793203770981158, 0.125343258550773);-56.7861239501474;0.000188900033686
[0.45, 0.36, 0.78, 0.12];127;aurea;3048;(0.462737145944126, 0.388129140665960, 0.782111634226676, 0.140125499871751);-57.1214737383474;0.00290586481171
[0.1, 0.85, 0.59, 0.4];5;armijo;230;(0.213912873647388, 0.909066649501639, 0.726681026659699, 0.459784769805947);-63.7631578311757;0.000146051667758
[0.1, 0.85, 0.59, 0.4];150;aurea;3600;(0.220441973183690, 0.926675872344014, 0.711477385609066, 0.483286898966012);-64.2234418370866;0.00386763272695
[0.7, 0.3, 0.45, 0.96];5;armijo;290;(0.699902544324763, 0.300262810108043, 0.449723293795465, 0.960071372775224);-62.9212893909489;0.000259124169273
[0.7, 0.3, 0.45, 0.96];26;aurea;624;(0.700205108791861, 0.307621997738023, 0.446861513052094, 0.962655717818306);-63.0633858172884;0.00253317866114
[0.7, 0.6, 0.1, 0.9];6;armijo;292;(0.820832694879644, 0.684765868798745, 0.249572570646820, 0.963232793471393);-69.9620652496717;0.00014249364866
[0.7, 0.6, 0.1, 0.9];45;aurea;1080;(0.821444223395882, 0.693451132533477, 0.245356545260585, 0.968704834805955);-70.1537007634443;0.00121431367144
[0.52, 0.9, 0.7, 0.3];6;armijo;250;(0.490576135325893, 0.870291486957706, 0.584120933903686, 0.288751944571034);-63.2781355116162;0.00142594225155
[0.52, 0.9, 0.7, 0.3];37;aurea;888;(0.511265221840929, 0.426790292004500, 0.749866130238635, 0.0824671498722095);-57.2795465795563;0.00191079166458
[0.9, 0.6, 0.8, 0.4];7;armijo;287;(0.496967836352417, 0.814362363692834, 0.590546100837459, 0.313278166302802);-63.0766529601262;0.0209227463261
[0.9, 0.6, 0.8, 0.4];36;aurea;864;(0.511526346945654, 0.0995911501973797, 0.833852722494766, 0.139149459352308);-54.0267046326320;0.000825620802575
[0.2, 0.3, 0.95, 0.87];12;armijo;586;(0.524830126563561, 0.767981207905111, 0.593336792591930, 0.276892627243745);-62.4106103481939;0.000115629429286
[0.2, 0.3, 0.95, 0.87];36;aurea;864;(0.835075681418654, 0.125025560616905, 0.498197229525156, 0.570506071401628);-58.0022349971790;0.00339502671059
