Xo;Interações.;Busca;Interações da Busca;Opt. Point;Opt. Value; Error
[0.0, 0.0, 0.0, 0.0];7;armijo;369;(0.562595681619509, 0.196355565852325, 0.748757420471025, 0.226734200656391);-55.9271150114050;1.36555068029e-05
[0.0, 0.0, 0.0, 0.0];3;aurea;16;(0.563335672297829, 0.187785945050682, 0.751112791686330, 0.225335921396909);-55.8142707823678;3.12837256348e-05
[0.1, 0.1, 0.1, 0.1];4;armijo;186;(0.561370950296956, 0.292709232546665, 0.704528591680368, 0.296746652299335);-57.5839001253722;0.00019195230196
[0.1, 0.1, 0.1, 0.1];3;aurea;16;(0.561556310209959, 0.290489567085469, 0.705150328789046, 0.296346079384628);-57.5543972544911;3.2810996351e-05
[0.2, 0.2, 0.2, 0.2];6;armijo;307;(0.559697223728620, 0.385351473187084, 0.662416934872439, 0.363791214599090);-59.2109786103652;0.000126123719988
[0.2, 0.2, 0.2, 0.2];4;aurea;15;(0.560552151641087, 0.374832254154188, 0.665434282185578, 0.361708489328387);-59.0689069967327;3.29646436099e-05
[0.3, 0.3, 0.3, 0.3];5;armijo;249;(0.560150719731237, 0.444130386372101, 0.630874518496123, 0.422364810840423);-60.3977320704062;4.16825201641e-05
[0.3, 0.3, 0.3, 0.3];3;aurea;15;(0.560218829375604, 0.443314421250720, 0.631113371834284, 0.422194862147875);-60.3866756809950;5.99189841086e-05
[0.4, 0.4, 0.4, 0.4];5;armijo;236;(0.560324945988298, 0.499867715607928, 0.600935251864964, 0.478864299717116);-61.5562610009150;0.000159397876221
[0.4, 0.4, 0.4, 0.4];3;aurea;13;(0.560462071559986, 0.498063759660125, 0.601468356396387, 0.478449044487568);-61.5311447310724;6.81574032277e-05
[0.5, 0.5, 0.5, 0.5];8;armijo;446;(0.561272300751213, 0.541571711391431, 0.575524188515960, 0.531485615881357);-62.5344838773217;2.1344117807e-05
[0.5, 0.5, 0.5, 0.5];3;aurea;11;(0.561214786572336, 0.540811292247276, 0.575906049695453, 0.531015879626578);-62.5205216745358;6.80056737239e-05
[0.6, 0.6, 0.6, 0.6];15;armijo;837;(0.551003202482261, 0.229541036110661, 0.753814043652955, 0.197666474777363);-56.1049703728962;1.4742159445e-05
[0.6, 0.6, 0.6, 0.6];5;aurea;11;(0.565101145053176, 0.597379590779863, 0.540812641096073, 0.597291243472731);-63.8482578644466;1.68927302648e-05
[0.7, 0.7, 0.7, 0.7];8;armijo;402;(0.540140331698209, 0.215246897295937, 0.773851109576433, 0.162831360893648);-55.6690786213477;6.48012321236e-06
[0.7, 0.7, 0.7, 0.7];5;aurea;13;(0.575080897448071, 0.677648887878832, 0.488381955660399, 0.689226832634414);-65.7992037066670;1.79067255359e-05
[0.8, 0.8, 0.8, 0.8];9;armijo;424;(0.553002687391175, 0.248683116205806, 0.741274165187454, 0.220845851195338);-56.4958285422175;6.14866619438e-05
[0.8, 0.8, 0.8, 0.8];4;aurea;15;(0.587454959175728, 0.738548959503318, 0.440372606635774, 0.779726528580672);-67.5651570480635;4.2650378874e-05
[0.9, 0.9, 0.9, 0.9];9;armijo;436;(0.551125106166556, 0.246568903014457, 0.744584632134303, 0.215027508930877);-56.4245117891848;3.14280906973e-05
[0.9, 0.9, 0.9, 0.9];7;aurea;11;(0.170751854784675, 0.591102091064998, 0.804834524231793, 0.660236894748121);-61.9636075034791;1.54073302363e-05
