Xo;Interações.;Busca;Interações da Busca;Opt. X1; Opt. X2;Opt. X3;Opt. X4;Opt. Value; Error
[0.99, 0.98, 0.02, 0.92];10;armijo;597;1.00374146481358;0.990236050879464;0.0382587295892697;0.928660858310551;-75.0416210829990;8.52031418128e-05
[0.92, 0.9, 0.0, 0.95];6;armijo;342;0.972238924265883;0.935855582322823;0.0646306672926763;0.979677743230437;-74.7854865972619;5.68322762629e-05
[0.9, 0.9, 0.1, 0.9];5;armijo;270;0.919639052806100;0.913614759581297;0.124227873562938;0.911160631040914;-73.3451313012377;5.80438078908e-05
[1.0, 1.0, 0.0, 1.0];9;armijo;535;0.999318310376425;0.999729418395475;0.0218976284324966;0.999761917175834;-76.1166925963165;7.24806738894e-06
[0.999, 0.899, 0.02, 0.92];10;armijo;551;0.882776984302614;0.957998069493316;0.123560096660173;0.968077164984105;-74.4390268781302;1.9005123514e-05
[0.93, 0.88, 0.002, 0.89];4;armijo;209;0.986948840750361;0.918892356010565;0.0727539903916973;0.922428800828382;-73.9322394764924;2.91970061277e-05
[0.99, 0.99, 0.11, 0.99];7;armijo;334;0.499437913012884;0.238490467608736;0.738653724205047;0.405688059413512;-57.3480399706385;3.13354545933e-05
[1.0, 0.98, 0.1, 0.9];8;armijo;391;0.284308453521280;0.435753433216976;0.815517331760714;0.471633415099680;-59.2653794521158;6.13905644422e-05
[0.965, 0.9, 0.2, 1.0];8;armijo;419;0.525614230530066;0.218772779652154;0.782203750767537;0.166199841772734;-55.6778005991061;1.96823233667e-05
[0.9, 0.93, 0.0, 0.97];6;armijo;354;0.952553132732118;0.965772586298207;0.0648051091462594;0.999910539002411;-75.3533432367446;1.19380948682e-05
[0.928, 0.999, 0.0, 0.87];10;armijo;606;0.984501745581602;0.949747460889121;0.0698524791393341;0.902931130292361;-74.1179434058558;6.92885814146e-06
